"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @lacnic: Esta semana participamos del #WALC2019 en Guatemala. Encuentra información sobre este evento aquí https://t.co/sS6QDijVtd https…",FALSE,0,NA,2019-11-15 22:17:51,FALSE,NA,"1195465965825335296",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","isocguatemala",1,TRUE,FALSE,NA,NA
"2","RT @frodas: Generando data para el Cloud Computing y su posterior análisis de Big Data con herramientas especializadas dentro del Track 06…",FALSE,0,NA,2019-11-15 22:17:30,FALSE,NA,"1195465876910333955",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","isocguatemala",1,TRUE,FALSE,NA,NA
"3","RT @frodas: El Cloud Computing y el Big Data con la integración de la Estadística pura y aplicada a través de algoritmos, permiten la inter…",FALSE,0,NA,2019-11-15 22:17:19,FALSE,NA,"1195465832790409218",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","isocguatemala",1,TRUE,FALSE,NA,NA
"4","RT @abelenda01: estupenda la organización! Muy agradecido de poder ser parte de este #WALC2019 <U+0001F1EC><U+0001F1F9><U+0001F1FA><U+0001F1FE>",FALSE,0,NA,2019-11-15 22:13:07,FALSE,NA,"1195464775989432326",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","isocguatemala",1,TRUE,FALSE,NA,NA
"5","RT @medinillag: #WALC2019 que excelente experiencia!!!!",FALSE,0,NA,2019-11-15 22:13:01,FALSE,NA,"1195464750043475969",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","isocguatemala",0,TRUE,FALSE,NA,NA
"6","RT @jasda1974: #WALC2019 IOT-BIG DATA MUY BIEN",FALSE,0,NA,2019-11-15 21:51:03,FALSE,NA,"1195459222709899266",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","isocguatemala",1,TRUE,FALSE,NA,NA
"7","RT @germanviniciog: #WALC2019  Evento con fines educativos tecnológicos, fortaleciendo las habilidades de cada participante. Excelente Even…",FALSE,0,NA,2019-11-15 21:50:52,FALSE,NA,"1195459174999756803",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","isocguatemala",0,TRUE,FALSE,NA,NA
"8","RT @infercom_2: Adquiriendo y mejorando conocimientos 
#WALC2019 https://t.co/sxrZGY2bEt",FALSE,0,NA,2019-11-15 21:50:36,FALSE,NA,"1195459107567886336",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","isocguatemala",1,TRUE,FALSE,NA,NA
"9","RT @rodrigonei: #WALC2019 Excelentes contenidos, nuevos conocimientos. <U+0001F44D><U+0001F3FB>",FALSE,0,NA,2019-11-15 21:50:28,FALSE,NA,"1195459072939765761",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","isocguatemala",0,TRUE,FALSE,NA,NA
"10","RT @pombofernandez: #WALC2019 hands on ipv6, uno de los talleres en desarrollo. https://t.co/dTKUze8QQA",FALSE,0,NA,2019-11-15 21:50:24,FALSE,NA,"1195459059069177857",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","isocguatemala",1,TRUE,FALSE,NA,NA
"11","RT @andyvega82: #WALC2019 En el epílogo de una jornada muy enriquecedora, Las telecomunicaciones y las TICs una oportunidad para el desarro…",FALSE,0,NA,2019-11-15 21:50:05,FALSE,NA,"1195458975803805696",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","isocguatemala",1,TRUE,FALSE,NA,NA
"12","RT @denysorozco: La conectividad a Internet me ha dejado un mal sabor de boca; la limitación de hardware de los pcs y ello como resultado,…",FALSE,0,NA,2019-11-15 21:49:55,FALSE,NA,"1195458937568550913",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","isocguatemala",1,TRUE,FALSE,NA,NA
"13","RT @jalfdominguez: In Guatemala for #WALC2019 https://t.co/3TIPCK2zJJ",FALSE,0,NA,2019-11-15 21:49:41,FALSE,NA,"1195458878596624385",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","isocguatemala",1,TRUE,FALSE,NA,NA
"14","#WALC2019 un evento de talla internacional con un nivel muy alto de expertos. A pocas horas del cierre del evento.",FALSE,0,NA,2019-11-15 20:37:27,FALSE,NA,"1195440699270930437",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EstuardoZapeta",0,FALSE,FALSE,NA,NA
"15","In Guatemala for #WALC2019 https://t.co/3TIPCK2zJJ",FALSE,2,NA,2019-11-15 20:17:31,FALSE,NA,"1195435681696436234",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jalfdominguez",1,FALSE,FALSE,NA,NA
"16","La conectividad a Internet me ha dejado un mal sabor de boca; la limitación de hardware de los pcs y ello como resu… https://t.co/of3Yt0UhKl",FALSE,0,NA,2019-11-15 20:14:12,TRUE,NA,"1195434846845329408",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","denysorozco",1,FALSE,FALSE,NA,NA
"17","#WALC2019 En el epílogo de una jornada muy enriquecedora, Las telecomunicaciones y las TICs una oportunidad para el… https://t.co/Na23Ogvs5L",FALSE,4,NA,2019-11-15 20:12:36,TRUE,NA,"1195434445815328768",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","andyvega82",1,FALSE,FALSE,NA,NA
"18","#WALC #NSRC WALC2019 en Fundación #KINAL en Guatemala City, Guatemala. https://t.co/hsBy2KYhGq",FALSE,0,NA,2019-11-15 20:01:42,FALSE,NA,"1195431703701053440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jalfdominguez",0,FALSE,FALSE,NA,NA
"19","El Track de Seguridad esta brutal #walc2019",FALSE,1,NA,2019-11-15 19:02:50,FALSE,NA,"1195416887955472389",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rgonzalez_tec",0,FALSE,FALSE,NA,NA
"20","#WALC2019 hands on ipv6, uno de los talleres en desarrollo. https://t.co/dTKUze8QQA",FALSE,1,NA,2019-11-15 18:48:11,FALSE,NA,"1195413203154542593",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pombofernandez",1,FALSE,FALSE,NA,NA
"21","#WALC2019 Excelentes contenidos, nuevos conocimientos. <U+0001F44D><U+0001F3FB>",FALSE,0,NA,2019-11-15 18:46:45,FALSE,NA,"1195412840577982464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rodrigonei",0,FALSE,FALSE,NA,NA
